sample_id,source_config,router_task,prompt,ground_truth,model_used,response,cascaded,draft_accepted,latency_ms,total_cost,total_tokens,is_correct,exact_match,score_f1,score_exact_match_normalized,score_contains_gt,score_gt_in_response,score_numeric_match,score_mc_letter_match,pred_answer_letter,gt_answer_letter,timestamp,error
ai2d_00004_bf3d9c5fd30bf304,ai2d,diagram_reasoning,"Question: If the Termites in the community below were destroyed, which population would be most directly affected?
Choices:
A. Dingoes
B. Mice
C. Northern brown bandicoot
D. none of above
Answer with ",Answer: A,Qwen/Qwen2.5-VL-7B-Instruct,B,False,False,89.93911743164062,0.0,0,False,0.0,0.0,0.0,0.0,0.0,,0.0,B,A,2025-12-01T02:50:11.037084,
ai2d_00007_e6f58451a22503d1,ai2d,diagram_reasoning,"Question: what does the 2nd picture show?
Choices:
A. offset tidal gravity
B. the solar system
C. tidal mass centered
D. synchronous orbit
Answer with the letter.",Answer: A,Qwen/Qwen2.5-VL-7B-Instruct,D,False,False,40.966033935546875,0.0,0,False,0.0,0.0,0.0,0.0,0.0,,0.0,D,A,2025-12-01T02:50:11.078271,
ai2d_00019_e5f934cfc0951972,ai2d,diagram_reasoning,"Question: A food web for a ecosystem is shown above. Which of the organisms in this food web gets energy from both producers and consumers?
Choices:
A. Mysid Shrimp
B. Muscles
C. Sand Shrimp
D. Algae
",Answer: C,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,The organism that gets energy from both producers and consumers in the food web shown above is the Algae.,True,True,118.44706535339355,0.0,82,False,0.0,0.0,0.0,0.0,0.0,,0.0,A,C,2025-12-01T02:50:11.196950,
ai2d_00021_59cfa73bc8485386,ai2d,diagram_reasoning,"Question: What is the lowermost section of a vertebrate brain?
Choices:
A. Optic chiasm
B. Pineal gland
C. Medulla oblongata
D. Occipital lobe
Answer with the letter.",Answer: C,Qwen/Qwen2.5-VL-7B-Instruct,C,False,False,40.437936782836914,0.0,0,True,0.0,0.6666666666666666,0.0,0.0,0.0,,1.0,C,C,2025-12-01T02:50:11.237569,
ai2d_00023_bd686a44c25987c8,ai2d,diagram_reasoning,"Question: What is the insulating envelope of myelin that surrounds the core of a nerve fiber or axon and facilitates the transmission of nerve impulses?
Choices:
A. nucleus
B. soma
C. myelin sheath
D.",Answer: C,Qwen/Qwen2.5-VL-7B-Instruct,C,False,False,41.506052017211914,0.0,0,True,0.0,0.6666666666666666,0.0,0.0,0.0,,1.0,C,C,2025-12-01T02:50:11.279285,
ai2d_00035_c56cef3ec124dce3,ai2d,diagram_reasoning,"Question: What is on top of the plant?
Choices:
A. leaf sheath
B. stem
C. leaf blade
D. crown
Answer with the letter.",Answer: B,Qwen/Qwen2.5-VL-7B-Instruct,B,False,False,42.04416275024414,0.0,0,True,0.0,0.6666666666666666,0.0,0.0,0.0,,1.0,B,B,2025-12-01T02:50:11.321623,
ai2d_00041_09ec3696b0588adc,ai2d,diagram_reasoning,"Question: According to the given food chain, if the population of clam increases
Choices:
A. Blue crab will increase in number.
B. Grass will dry up.
C. Croaker will die.
D. Crabs will decrease.
Answe",Answer: A,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,"The correct answer is D. Crabs will decrease.

Explanation: The food chain shows the flow of energy and nutrients from one organism to another. In this case, the population of clam increases, which means there is an increase in the number of clam. This increase in clam population will lead to a decrease in the population of blue crab, as blue crab is a predator of clam. Crabs are also prey for blue crab, so an increase in clam population will lead to a decrease in the blue crab population.",True,True,287.1389389038086,0.0,159,False,0.0,0.046511627906976744,0.0,1.0,0.0,,0.0,C,A,2025-12-01T02:50:11.609154,
ai2d_00051_cae6bb5eb2052749,ai2d,diagram_reasoning,"Question: In the life cycle of a Butterfly which stage is before it becomes an adult ?
Choices:
A. larva hatching
B. larva
C. egg
D. pupa
Answer with the letter.",Answer: D,Qwen/Qwen2.5-VL-7B-Instruct,D,False,False,41.55325889587402,0.0,0,True,0.0,0.6666666666666666,0.0,0.0,0.0,,1.0,D,D,2025-12-01T02:50:11.650962,
ai2d_00065_3ed208d8cafa62d8,ai2d,diagram_reasoning,"Question: How many stages are in this diagram?
Choices:
A. 3
B. 7
C. 4
D. 6
Answer with the letter.",Answer: C,Qwen/Qwen2.5-VL-7B-Instruct,D,False,False,41.38803482055664,0.0,0,False,0.0,0.0,0.0,0.0,0.0,,0.0,D,C,2025-12-01T02:50:11.692587,
ai2d_00069_c3136202feef50cc,ai2d,diagram_reasoning,"Question: Carbon dioxide and water are required for what process in this cycle?
Choices:
A. Cellular respiration
B. Photosynthesis
C. Mitochondria
D. Animal cell
Answer with the letter.",Answer: B,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,B,True,False,84.06972885131836,0.0,65,True,0.0,0.6666666666666666,0.0,0.0,0.0,,1.0,B,B,2025-12-01T02:50:11.777178,
