sample_id,router_task,ground_truth_type,c_model,c_latency,c_cost,c_correct,c_cascaded,a_model,a_latency,a_cost,a_correct,prompt_tokens,completion_tokens
ai2d_00443_bb3cc5a276a7a19c,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,29466.524124145508,0.0,True,False,qwen3_vl_8b_thinking,7288.999319076538,0.0,False,0,0
ai2d_00238_e6ccf60586f429db,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,29470.900774002075,0.0,True,False,qwen3_vl_8b_thinking,7373.084306716919,0.0,False,0,0
ai2d_00350_9bd31a6014fda292,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,29474.75814819336,0.0,True,False,qwen3_vl_8b_thinking,7392.20404624939,0.0,False,0,0
ai2d_00613_7678b6e00d048450,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,29675.235986709595,1.3000000000000001e-05,True,True,qwen3_vl_8b_thinking,7221.702098846436,0.0,False,0,0
ai2d_00136_b6aec2d30925d931,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,187.02125549316406,1.16e-05,False,True,qwen3_vl_8b_thinking,6059.65781211853,0.0,False,0,0
ai2d_00461_b9e6243d6dc987ef,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,90.45720100402832,0.0,True,False,qwen3_vl_8b_thinking,5572.28684425354,0.0,False,0,0
ai2d_00625_ff7c97f6b3fff118,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,89.0343189239502,0.0,True,False,qwen3_vl_8b_thinking,5748.365879058838,0.0,False,0,0
ai2d_00352_ba3bd85b745cc01f,diagram_reasoning,mc,deepseek-ai/DeepSeek-OCR+Qwen/Qwen2.5-VL-7B-Instruct,76.43008232116699,1.24e-05,False,True,qwen2_5_vl_3b,22111.276865005493,1.4200000000000001e-05,False,69,2
ai2d_00021_59cfa73bc8485386,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,89.48183059692383,0.0,True,False,qwen2_5_vl_3b,22153.85103225708,1.4200000000000001e-05,False,69,2
ai2d_00301_87c41d8d1fd6d0d9,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,98.76894950866699,0.0,True,False,qwen3_vl_8b_thinking,5977.837085723877,0.0,False,0,0
ai2d_00004_bf3d9c5fd30bf304,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,29471.635341644287,0.0,False,False,qwen3_vl_8b_thinking,31807.721853256226,0.00011480000000000001,False,62,512
ai2d_00538_8bc300c689e19505,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,99.40195083618164,0.0,True,False,qwen3_vl_8b_thinking,24322.328090667725,0.00011200000000000001,False,48,512
ai2d_00628_f0a820acb368694f,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,57.0068359375,0.0,True,False,qwen2_5_vl_3b,351.88889503479004,1.98e-05,False,97,2
ai2d_00368_3192e4009d0bcd9f,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,54.60095405578613,0.0,True,False,qwen3_vl_8b_thinking,2457.5250148773193,6.1000000000000005e-05,False,53,252
ai2d_00141_2fcb2ca9cd8eeebd,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,76.08914375305176,0.0,False,False,qwen3_vl_8b_thinking,5870.214939117432,0.0,False,0,0
ai2d_00264_4ff7e543820692d4,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,55.08589744567871,0.0,True,False,qwen3_vl_8b_thinking,6042.079925537109,0.0,False,0,0
ai2d_00023_bd686a44c25987c8,diagram_reasoning,mc,Qwen/Qwen2.5-VL-7B-Instruct,52.36029624938965,0.0,True,False,qwen3_vl_8b_thinking,5556.337118148804,0.0,False,0,0
