sample_id,router_task,label_id,pred_id,mode
ai2d_00004_bf3d9c5fd30bf304,diagram_reasoning,1,2,full
ai2d_00007_e6f58451a22503d1,diagram_reasoning,1,2,full
ai2d_00019_e5f934cfc0951972,diagram_reasoning,4,2,full
ai2d_00021_59cfa73bc8485386,diagram_reasoning,1,2,full
ai2d_00023_bd686a44c25987c8,diagram_reasoning,1,2,full
ai2d_00035_c56cef3ec124dce3,diagram_reasoning,1,2,full
ai2d_00041_09ec3696b0588adc,diagram_reasoning,1,2,full
ai2d_00051_cae6bb5eb2052749,diagram_reasoning,1,2,full
ai2d_00065_3ed208d8cafa62d8,diagram_reasoning,1,2,full
ai2d_00069_c3136202feef50cc,diagram_reasoning,1,2,full
ai2d_00073_bd3cfc3a8ea4a109,diagram_reasoning,1,2,full
ai2d_00086_f510e042dd7ad72d,diagram_reasoning,1,0,full
ai2d_00097_01cfe9c711a58157,diagram_reasoning,4,2,full
ai2d_00109_4c8b7ada2d005907,diagram_reasoning,1,2,full
ai2d_00112_1604d398417d7d77,diagram_reasoning,1,2,full
ai2d_00118_743ddd575f6c58f3,diagram_reasoning,1,2,full
ai2d_00127_cb9d05c6a31e39c3,diagram_reasoning,1,2,full
ai2d_00134_83eed026ad7c4161,diagram_reasoning,1,2,full
ai2d_00136_b6aec2d30925d931,diagram_reasoning,1,2,full
ai2d_00141_2fcb2ca9cd8eeebd,diagram_reasoning,1,2,full
ai2d_00161_3d6a73d15b035832,diagram_reasoning,2,2,full
ai2d_00163_24974cb8047c6d76,diagram_reasoning,1,2,full
ai2d_00175_99f697cf0eea1a22,diagram_reasoning,1,2,full
ai2d_00181_1347e1af4b429d34,diagram_reasoning,1,2,full
ai2d_00182_989ef7f73115f124,diagram_reasoning,1,2,full
ai2d_00190_9271648f7c34de11,diagram_reasoning,1,2,full
ai2d_00196_b6318e40f7c47712,diagram_reasoning,1,2,full
ai2d_00208_6b443ddb21524652,diagram_reasoning,1,0,full
ai2d_00236_c3bcc1a3b7fed8d0,diagram_reasoning,1,2,full
ai2d_00238_e6ccf60586f429db,diagram_reasoning,1,2,full
ai2d_00264_4ff7e543820692d4,diagram_reasoning,1,2,full
ai2d_00294_aa5da3c36452aae2,diagram_reasoning,1,0,full
ai2d_00296_55cf248aefaaa556,diagram_reasoning,1,2,full
ai2d_00299_e6b4138618f37f17,diagram_reasoning,1,2,full
ai2d_00301_87c41d8d1fd6d0d9,diagram_reasoning,4,2,full
ai2d_00303_1edc70add56c6c0e,diagram_reasoning,2,2,full
ai2d_00304_d93a30f13d5a344d,diagram_reasoning,1,2,full
ai2d_00305_eee5d6d5952c4347,diagram_reasoning,1,2,full
ai2d_00307_e01e92551c83fb67,diagram_reasoning,2,2,full
ai2d_00309_11a6ec669201f1bc,diagram_reasoning,1,2,full
ai2d_00316_3586bc61d38a8349,diagram_reasoning,1,2,full
ai2d_00334_da0e7b55c01b6968,diagram_reasoning,1,2,full
ai2d_00335_30985c5f031c6202,diagram_reasoning,1,2,full
ai2d_00344_d121c8ca1bc5be59,diagram_reasoning,1,2,full
ai2d_00345_fc2742e30ac64db8,diagram_reasoning,2,2,full
ai2d_00346_258ee9eefa3e758b,diagram_reasoning,1,2,full
ai2d_00347_2a2b7e3607fddc07,diagram_reasoning,2,2,full
ai2d_00350_9bd31a6014fda292,diagram_reasoning,4,2,full
ai2d_00352_ba3bd85b745cc01f,diagram_reasoning,1,2,full
ai2d_00368_3192e4009d0bcd9f,diagram_reasoning,1,2,full
ai2d_00369_e27bb7069f1f4965,diagram_reasoning,1,2,full
ai2d_00370_e73bbfac9a187c82,diagram_reasoning,1,2,full
ai2d_00376_a07c134a2b51774f,diagram_reasoning,2,2,full
ai2d_00396_842196e65d592109,diagram_reasoning,2,2,full
ai2d_00402_857422b236df7e7b,diagram_reasoning,1,2,full
ai2d_00408_40d37ca8217c2bda,diagram_reasoning,2,2,full
ai2d_00409_e2451a5ab9d85c5a,diagram_reasoning,4,2,full
ai2d_00414_68f312a7b628e670,diagram_reasoning,1,2,full
ai2d_00425_4c6f343f827d4e80,diagram_reasoning,1,2,full
ai2d_00428_9654b2a2f1007e25,diagram_reasoning,1,2,full
ai2d_00433_bd168da8512d8f66,diagram_reasoning,1,2,full
ai2d_00434_7bb32f7f26f71cb0,diagram_reasoning,1,2,full
ai2d_00443_bb3cc5a276a7a19c,diagram_reasoning,1,2,full
ai2d_00461_b9e6243d6dc987ef,diagram_reasoning,1,2,full
ai2d_00466_fcc20b47940fa9ff,diagram_reasoning,1,2,full
ai2d_00467_20f09af87356d71a,diagram_reasoning,1,2,full
ai2d_00470_1b43e41636c37dcf,diagram_reasoning,1,2,full
ai2d_00471_f7e17c27cd642347,diagram_reasoning,1,2,full
ai2d_00494_027c9ba68e708bdc,diagram_reasoning,2,2,full
ai2d_00496_dbbfc8bb25a6d22b,diagram_reasoning,1,2,full
ai2d_00497_057af09c9d4c4f27,diagram_reasoning,1,2,full
ai2d_00501_724d5dde8d285375,diagram_reasoning,1,2,full
ai2d_00503_87e4e7a0285f3c27,diagram_reasoning,1,2,full
ai2d_00510_801b106d67059d66,diagram_reasoning,2,2,full
ai2d_00513_c5c23b189e21a499,diagram_reasoning,1,2,full
ai2d_00536_b3ecd70fde4a3e0f,diagram_reasoning,1,2,full
ai2d_00538_8bc300c689e19505,diagram_reasoning,1,2,full
ai2d_00543_73b48164946ff130,diagram_reasoning,1,2,full
ai2d_00545_9f68f540612da23e,diagram_reasoning,1,2,full
ai2d_00551_9bb5b85eec8e4b82,diagram_reasoning,1,2,full
ai2d_00554_2919f11850bb47ee,diagram_reasoning,1,2,full
ai2d_00559_89ebf0d4a6b6210c,diagram_reasoning,1,2,full
ai2d_00569_c8d9461764d48a2c,diagram_reasoning,2,2,full
ai2d_00572_5c014378935b9f9e,diagram_reasoning,1,2,full
ai2d_00574_27215defd70d4271,diagram_reasoning,1,2,full
ai2d_00576_b0c93ba86b4588cf,diagram_reasoning,1,2,full
ai2d_00579_859ac2425163f84d,diagram_reasoning,1,2,full
